id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif,id_labels
0.35.33,9,5,4,2441.2554,1407.7162,1393.1086,21.799999,13.25,0,1,1,0,0,0.Service workers.Customer services occupations
0.35.33.15,4,2,2,245.94839,15237,7880.8574,1,1,0,0,1,0,0,"0.Service workers.Customer services occupations.Managing directors, managers"
0.35.34,27,16,11,732.11475,1109.9755,946.12372,14.3125,16.09091,0,1,1,0,1,0.Service workers.Commercial and catering occupations
0.35.34.15,10,6,4,98.389374,9729.9219,9019.6738,1,1,0,0,1,0,0,"0.Service workers.Commercial and catering occupations.Managing directors, managers"
0.35.48,16,6,10,440.05212,1970.8176,2155.6875,10.333333,9.8999996,1,0,1,1,0,0.Service workers.Occupations not requiring qualifications
0.35.48.15,6,2,4,346.73648,7590.8408,6123.5576,1,1,1,0,1,0,0,"0.Service workers.Occupations not requiring qualifications.Managing directors, managers"
0.36,70,21,48,,2197.4355,1852.1193,3.2380953,8.145833,1,,,0,1,0.Agricultural occupations
0.36.15,15,2,12,1015.1514,3936.145,7289.8652,1,1,1,1,1,1,0,"0.Agricultural occupations.Managing directors, managers"
0.36.34,10,4,6,1228.6105,253.69974,1361.1199,19.75,15.5,1,1,1,1,0,0.Agricultural occupations.Commercial and catering occupations
0.36.34.15,3,0,3,801.91656,,9032.4287,,1,1,1,1,,,"0.Agricultural occupations.Commercial and catering occupations.Managing directors, managers"
0.36.48,13,3,10,878.62402,3236.3245,1502.8628,4.3333335,18.799999,1,1,1,0,1,0.Agricultural occupations.Occupations not requiring qualifications
0.36.48.15,3,1,2,98.453789,7899.9995,16974.824,1,1,1,0,1,1,0,"0.Agricultural occupations.Occupations not requiring qualifications.Managing directors, managers"
0.37,12,2,9,,2327.3501,1594.6721,1,11.666667,1,,,0,1,"0.Forestry, game-farming and fisheries "
0.37.15,4,0,4,67.339417,,5508.2148,,1,1,0,1,,,"0.Forestry, game-farming and fisheries .Managing directors, managers"
0.38,110,31,76,,1975.8127,1557.1505,9.8387098,21.302631,1,,,0,1,0.Food processing workers
0.38.15,23,5,18,258.02911,6115.1694,9034.9248,1,1,1,0,1,1,0,"0.Food processing workers.Managing directors, managers"
0.38.34,19,7,12,1072.7008,524.75287,1607.5173,31.142857,16.583334,1,1,1,1,0,0.Food processing workers.Commercial and catering occupations
0.38.34.15,10,5,5,660.6593,9949.8076,8373.0723,1,1,0,1,1,0,0,"0.Food processing workers.Commercial and catering occupations.Managing directors, managers"
0.38.34.38,4,1,3,-248.96634,459.37781,2315.3127,9,6,1,0,0,1,0,0.Food processing workers.Commercial and catering occupations.Food processing workers
0.38.34.38.15,3,0,3,733.08521,,7922.1401,,1,1,1,1,,,"0.Food processing workers.Commercial and catering occupations.Food processing workers.Managing directors, managers"
0.38.44,13,2,10,1914.3845,752.73901,789.68085,7,29.4,1,1,1,1,1,0.Food processing workers.Manufacturing machine operators
0.38.44.15,5,1,4,33.96904,5382.6772,11677.905,1,1,1,0,1,1,0,"0.Food processing workers.Manufacturing machine operators.Managing directors, managers"
