id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif,id_labels
0.34.31.34.15,3,2,1,-1291.1512,4143.3145,8049.9995,1,1,2,0,0,1,0,"0.Commercial and catering occupations.Other administrators.Commercial and catering occupations.Managing directors, managers"
0.34.32,62,45,16,304.66507,825.24286,2598.0747,17.088888,8.5625,2,0,1,1,0,0.Commercial and catering occupations.Office clerks
0.34.32.15,20,13,7,46.045719,8278.0742,7092.4077,1,1,2,0,1,0,0,"0.Commercial and catering occupations.Office clerks.Managing directors, managers"
0.34.32.29,5,4,1,1594.0221,3740.9739,932.28033,6.75,19,2,1,1,0,1,"0.Commercial and catering occupations.Office clerks.Business related services administrators, agents"
0.34.32.29.15,4,3,1,-1024.4425,8540.6924,6241.9355,1,1,2,0,0,0,0,"0.Commercial and catering occupations.Office clerks.Business related services administrators, agents.Managing directors, managers"
0.34.32.34,18,14,4,359.57245,1700.8909,344.06259,22.785715,39.5,2,0,1,0,1,0.Commercial and catering occupations.Office clerks.Commercial and catering occupations
0.34.32.34.15,13,11,2,245.53571,9925.3545,6971.8311,1,1,2,0,1,0,0,"0.Commercial and catering occupations.Office clerks.Commercial and catering occupations.Managing directors, managers"
0.34.33,117,89,27,301.90469,1501.8086,1891.0223,14.337079,9.3703699,2,0,1,1,0,0.Commercial and catering occupations.Customer services occupations
0.34.33.15,40,28,12,63.087181,10319.083,8585.4551,1,1,2,0,1,0,0,"0.Commercial and catering occupations.Customer services occupations.Managing directors, managers"
0.34.33.34,53,41,12,86.487305,870.95685,2287.7341,31.292683,10.75,2,0,1,1,0,0.Commercial and catering occupations.Customer services occupations.Commercial and catering occupations
0.34.33.34.15,31,25,6,414.00894,11448.508,9124.0732,1,1,2,0,1,0,0,"0.Commercial and catering occupations.Customer services occupations.Commercial and catering occupations.Managing directors, managers"
0.34.33.34.33,6,4,2,-526.95105,989.16626,1102.7638,13,8,2,0,0,1,0,0.Commercial and catering occupations.Customer services occupations.Commercial and catering occupations.Customer services occupations
0.34.33.34.33.15,3,2,1,42.697697,7201.2505,7502.564,1,1,2,0,1,1,0,"0.Commercial and catering occupations.Customer services occupations.Commercial and catering occupations.Customer services occupations.Managing directors, managers"
0.34.33.34.48,9,5,4,140.49269,1548.4277,2162.7837,9.6000004,5,0,0,1,1,0,0.Commercial and catering occupations.Customer services occupations.Commercial and catering occupations.Occupations not requiring qualifications
0.34.33.34.48.15,4,2,2,323.91599,6265.5186,4705.1997,1,1,0,0,1,0,0,"0.Commercial and catering occupations.Customer services occupations.Commercial and catering occupations.Occupations not requiring qualifications.Managing directors, managers"
0.34.33.34.48.34,4,2,2,-480.26288,219.1983,304.58087,31,25.5,0,0,0,1,0,0.Commercial and catering occupations.Customer services occupations.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations
0.34.33.34.48.34.15,4,2,2,42.826458,6859.0264,7014.2002,1,1,0,0,1,1,0,0.Commercial and catering occupations.Customer services occupations.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations
0.34.35,35,19,16,614.76648,1888.1757,1461.016,6.8421054,11,0,1,1,0,1,0.Commercial and catering occupations.Service workers
0.34.35.15,11,5,6,1520.853,13283.479,6891.8491,1,1,0,1,1,0,0,"0.Commercial and catering occupations.Service workers.Managing directors, managers"
0.34.35.34,9,5,4,849.33679,1759.8789,1298.8431,25.6,20.75,0,1,1,0,0,0.Commercial and catering occupations.Service workers.Commercial and catering occupations
0.34.35.34.15,7,5,2,301.24893,8451.8262,10069.951,1,1,2,0,1,1,0,"0.Commercial and catering occupations.Service workers.Commercial and catering occupations.Managing directors, managers"
0.34.38,10,3,7,384.82767,3453.8252,1315.3883,5,13.714286,1,0,1,0,1,0.Commercial and catering occupations.Food processing workers
0.34.38.15,4,1,3,192.15109,5899.9995,8953.4844,1,1,1,0,1,1,0,"0.Commercial and catering occupations.Food processing workers.Managing directors, managers"
0.34.44,17,5,12,507.43063,452.71768,1217.734,26,11.416667,1,1,1,1,0,0.Commercial and catering occupations.Manufacturing machine operators
0.34.44.15,3,2,1,122.78797,16112.912,7647.7754,1,1,2,0,1,0,0,"0.Commercial and catering occupations.Manufacturing machine operators.Managing directors, managers"
0.34.44.48,5,1,4,317.26447,770.91461,463.68579,6,24.75,1,0,1,0,1,0.Commercial and catering occupations.Manufacturing machine operators.Occupations not requiring qualifications
0.34.44.48.15,4,0,4,8.3453131,,7302.832,,1,1,0,1,,,"0.Commercial and catering occupations.Manufacturing machine operators.Occupations not requiring qualifications.Managing directors, managers"
0.34.45,30,16,14,635.85626,1515.6165,2100.6777,14.4375,21.428572,0,1,1,1,1,0.Commercial and catering occupations.Assemblers
0.34.45.15,6,2,4,99.401375,15177.051,13886.311,1,1,1,0,1,0,0,"0.Commercial and catering occupations.Assemblers.Managing directors, managers"
0.34.45.34,10,7,3,472.69205,537.76685,1938.0854,16.571428,2.6666667,2,1,1,1,0,0.Commercial and catering occupations.Assemblers.Commercial and catering occupations
0.34.45.34.15,3,3,0,32.206509,6560.5532,,1,,2,0,1,,,"0.Commercial and catering occupations.Assemblers.Commercial and catering occupations.Managing directors, managers"
