id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0.33.24,98,36,62,1151.5029,1092.4406,936.36377,20.138889,25.387096,1,1,1,0,1
0.33.29,315,258,57,587.84601,993.67108,1164.908,34.655037,41.122807,2,1,1,1,1
0.33.29.32,61,53,8,56.899845,1023.1091,1024.0834,29.679245,23.875,2,0,1,1,0
0.33.31,84,62,22,586.00049,2266.8738,1183.2079,25.580645,19.181818,2,1,1,0,0
0.33.32,238,206,32,255.27338,1153.3654,1365.509,28.601942,21.46875,2,0,1,1,0
0.33.34,316,266,50,222.44617,1047.2341,1149.1379,26.229322,24.18,2,0,1,1,0
0.33.35,59,31,28,683.64178,1594.792,658.56744,15.064516,33.17857,0,1,1,0,1
0.33.48,132,79,53,89.247391,1091.3081,1414.7522,19.367088,14.54717,0,0,1,1,0
0.34,9998,6549,3449,,700.1936,834.66663,32.506794,32.111916,2,,,1,0
0.34.15,606,299,307,228.16452,1187.4033,1052.5541,24.207357,26.801304,0,0,1,0,1
0.34.15.34,259,137,122,87.033218,1029.1071,1414.4294,27.452555,26.967213,0,0,1,1,0
0.34.15.34.15,67,35,32,323.18842,1640.3916,1100.4513,24.142857,26.1875,0,0,1,0,1
0.34.17,74,24,50,4008.2727,510.54791,1091.2142,38.208332,45.619999,1,1,1,1,1
0.34.20,127,107,20,1182.5199,473.54602,692.26514,47.317757,39.200001,2,1,1,1,0
0.34.21,172,95,77,1476.5542,1027.316,1104.3525,21.957895,21.532467,0,1,1,1,0
0.34.23,65,41,24,2015.9126,653.51349,1062.9843,39.097561,31.875,2,1,1,1,0
0.34.24,220,95,125,822.30396,1056.2844,685.3291,20.242105,33.439999,0,1,1,0,1
0.34.26,89,77,12,683.89667,943.48102,1098.5681,31.051949,24.666666,2,1,1,1,0
0.34.28,58,54,4,119.60806,673.74164,394.25067,21.648148,24.25,2,0,1,0,1
0.34.29,866,616,250,973.61835,968.67908,1077.2538,28.702923,29.028,2,1,1,1,1
0.34.29.15,59,38,21,76.869003,1255.3726,960.16797,22.421053,24.809525,2,0,1,0,1
0.34.29.32,90,86,4,282.34811,1243.6421,358.56616,21.209303,25.75,2,0,1,0,1
0.34.29.33,105,87,18,140.15619,1301.5311,1153.8447,23.643679,25.944445,2,0,1,0,1
0.34.29.34,193,136,57,63.25449,842.90118,1350.905,25.661764,22.175438,2,0,1,1,0
0.34.31,224,166,58,853.03143,1252.3501,1636.7037,19.939758,20.172413,2,1,1,1,1
0.34.32,667,593,74,568.03552,862.07147,1700.5363,24.099495,19.202703,2,1,1,1,0
0.34.32.29,89,83,6,600.8985,827.79266,1027.5917,33.048191,34.5,2,1,1,1,1
0.34.32.34,132,119,13,241.79269,1134.006,917.14905,21.462185,21.846153,2,0,1,0,1
0.34.33,762,644,118,391.48621,1033.9064,1585.4523,18.835403,16.127119,2,0,1,1,0
0.34.33.29,83,70,13,194.81671,1285.6573,1087.6135,29.357143,33.46154,2,0,1,0,1
0.34.33.32,70,65,5,196.78488,963.39441,1187.8602,18.907692,12.6,2,0,1,1,0
0.34.33.34,323,284,39,152.63066,781.0387,1058.7955,31.010563,26.128204,2,0,1,1,0
0.34.35,506,323,183,260.15894,966.92773,947.19495,21.681114,24.639345,2,0,1,0,1
0.34.35.34,118,86,32,249.08733,1335.9725,1374.7765,22.61628,16.53125,2,0,1,1,0
0.34.35.48,78,38,40,51.874126,732.52148,780.1283,19.342106,26.725,0,0,1,1,1
0.34.38,135,65,70,328.45416,1036.5377,649.0575,14.876923,33.885715,0,0,1,0,1
0.34.39,89,48,41,144.36128,953.26776,1123.2433,17.979166,21.463415,0,0,1,1,1
0.34.40,191,54,137,698.24152,833.99512,864.06677,20.907408,33.423359,1,1,1,1,1
0.34.42,66,1,65,355.94846,533.93237,1005.8847,6,18.446154,1,0,1,1,1
0.34.44,306,208,98,468.68338,928.56207,1232.4392,23.110577,27.775511,2,1,1,1,1
0.34.44.34,72,49,23,243.31786,1118.8359,1033.2264,26.571428,19.826086,2,0,1,0,0
0.34.44.48,61,39,22,603.19397,947.422,3450.0347,24.717949,11.409091,2,1,1,1,0
0.34.45,322,238,84,386.82642,891.34698,1104.5839,22.7479,19.523809,2,0,1,1,0
0.34.45.34,78,59,19,192.80875,928.42334,852.38995,28.576271,15.315789,2,0,1,0,0
0.34.45.48,80,59,21,173.64513,1126.8364,1017.9438,16.220339,21.095238,2,0,1,0,1
0.34.47,169,21,148,311.51633,1212.1033,718.32886,23.285715,39.466217,1,0,1,0,1
0.34.48,2051,1263,788,167.37955,1146.4397,1214.8047,17.974663,18.942894,2,0,1,1,1
0.34.48.29,58,30,28,644.44501,1185.8634,1385.8951,20.066668,30.285715,0,1,1,1,1
0.34.48.32,77,67,10,-75.338577,1094.9327,548.71069,16.776119,22.9,2,0,0,0,1
0.34.48.34,725,444,281,69.889603,905.90808,1056.9547,26.986486,27.19573,2,0,1,1,1
0.34.48.34.48,211,124,87,26.435492,1305.9857,1240.825,14.830646,19.643679,0,0,1,0,1
0.34.48.34.48.34,79,41,38,266.97092,1343.9158,1152.8729,18.658537,24.31579,0,0,1,0,1
0.34.48.35,93,57,36,289.53821,1164.139,1512.4445,19.087719,18.25,2,0,1,1,0
0.34.48.44,79,44,35,475.01456,1103.7067,1150.5433,21.386364,19.914286,0,1,1,1,0
0.34.48.45,75,47,28,274.37286,1233.2833,1819.7363,16.489361,12.428572,2,0,1,1,0
0.35,2642,1246,1396,,927.49048,956.84009,30.218298,32.088825,0,,,1,1
0.35.12,73,13,60,.65176034,466.83994,792.71289,42.076923,46.433334,1,0,1,1,1
0.35.15,59,24,35,304.77933,1300.2073,690.85199,21.25,25.657143,0,0,1,0,1
0.35.24,57,15,42,1190.5704,1259.9019,996.05878,14.066667,23.761906,1,1,1,0,1
0.35.26,110,81,29,534.29376,728.66528,648.73309,53.851852,51.310345,2,1,1,0,0
0.35.29,147,83,64,931.40271,818.41779,1035.16,26.686747,28.796875,0,1,1,1,1
0.35.32,88,68,20,458.73236,1123.8762,2146.8428,17.558823,15.7,2,1,1,1,0
0.35.33,77,42,35,325.46857,1043.9492,1591.0848,21.166666,16.314285,0,0,1,1,0
0.35.34,291,186,105,199.19164,989.28925,1138.7999,23.311829,22.923809,2,0,1,1,0
0.35.34.48,60,29,31,-19.027548,1265.1564,691.65045,18.137932,21.419355,0,0,0,0,1
