id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,gender_dom,relevant_wagedif_norm,wage_sign,wagegap
0.34.45,322,238,84,386.82642,891.34698,1104.5839,2,0,1,1
0.34.45.34,78,59,19,192.80875,928.42334,852.38995,2,0,1,0
0.34.45.48,80,59,21,173.64513,1126.8364,1017.9438,2,0,1,0
0.34.47,169,21,148,311.51633,1212.1033,718.32886,1,0,1,0
0.34.48,2051,1263,788,167.37955,1146.4397,1214.8047,2,0,1,1
0.34.48.29,58,30,28,644.44501,1185.8634,1385.8951,0,1,1,1
0.34.48.32,77,67,10,-75.338577,1094.9327,548.71069,2,0,0,0
0.34.48.34,725,444,281,69.889603,905.90808,1056.9547,2,0,1,1
0.34.48.34.48,211,124,87,26.435492,1305.9857,1240.825,0,0,1,0
0.34.48.34.48.34,79,41,38,266.97092,1343.9158,1152.8729,0,0,1,0
0.34.48.35,93,57,36,289.53821,1164.139,1512.4445,2,0,1,1
0.34.48.44,79,44,35,475.01456,1103.7067,1150.5433,0,1,1,1
0.34.48.45,75,47,28,274.37286,1233.2833,1819.7363,2,0,1,1
0.35,2642,1246,1396,,927.49048,956.84009,0,,,1
0.35.12,73,13,60,.65176034,466.83994,792.71289,1,0,1,1
0.35.15,59,24,35,304.77933,1300.2073,690.85199,0,0,1,0
0.35.24,57,15,42,1190.5704,1259.9019,996.05878,1,1,1,0
0.35.26,110,81,29,534.29376,728.66528,648.73309,2,1,1,0
0.35.29,147,83,64,931.40271,818.41779,1035.16,0,1,1,1
0.35.32,88,68,20,458.73236,1123.8762,2146.8428,2,1,1,1
0.35.33,77,42,35,325.46857,1043.9492,1591.0848,0,0,1,1
0.35.34,291,186,105,199.19164,989.28925,1138.7999,2,0,1,1
0.35.34.48,60,29,31,-19.027548,1265.1564,691.65045,0,0,0,0
0.35.40,60,1,59,548.61414,229.18452,885.03546,1,1,1,1
0.35.47,81,2,79,265.14651,168.16562,727.80328,1,0,1,1
0.35.48,390,130,260,138.94453,909.31049,1216.8567,1,0,1,1
0.35.48.35,85,26,59,554.91492,1445.1877,1145.5923,1,1,1,0
0.36,585,166,419,,1120.9495,943.27594,1,,,0
0.36.48,230,60,170,212.13718,843.55103,781.4624,1,0,1,0
0.37,126,15,111,,998.44482,732.75311,1,,,0
0.38,1066,387,679,,1002.7556,919.63007,1,,,0
0.38.34,132,66,66,-11.164885,778.21265,813.55151,0,0,0,1
0.38.44,80,26,54,300.01639,963.25323,685.9007,1,0,1,0
0.38.48,377,140,237,108.75576,813.86951,969.24078,1,0,1,1
0.38.48.38,66,18,48,354.98569,3198.7756,654.9942,1,0,1,0
0.39,1392,491,901,,729.08472,605.9953,1,,,0
0.39.34,104,60,44,424.87619,1350.9814,625.34772,0,0,1,0
0.39.40,77,17,60,196.01315,1064.8623,862.20288,1,0,1,0
0.39.42,95,0,95,57.946831,,867.00049,1,0,1,0
0.39.44,157,69,88,292.65671,1451.0944,896.83331,0,0,1,0
0.39.45,73,37,36,529.74829,728.82904,923.03558,0,1,1,1
0.39.48,415,145,270,211.27739,699.13232,738.73022,1,0,1,1
0.39.48.39,56,15,41,124.92434,789.04016,938.88129,1,0,1,1
0.40,2667,301,2366,,1110.0266,652.58148,1,,,0
0.40.24,188,6,182,729.39081,1451.2555,918.74451,1,1,1,0
0.40.29,60,8,52,982.61975,583.70746,1079.7596,1,1,1,1
0.40.34,152,41,111,180.25179,507.24475,972.94,1,0,1,1
0.40.35,99,7,92,111.43266,669.77161,875.68018,1,0,1,1
0.40.42,147,0,147,156.069,,936.30414,1,0,1,0
0.40.42.40,58,0,58,801.80835,,810.36273,1,1,1,0
0.40.44,241,40,201,207.75223,1047.3925,1004.2423,1,0,1,0
0.40.44.40,63,5,58,462.6951,1317.7729,1426.5664,1,1,1,1
0.40.45,211,57,154,207.11484,542.85339,1283.4905,1,0,1,1
0.40.47,159,1,158,237.74477,1699.3912,727.70544,1,0,1,0
0.40.48,549,67,482,124.66645,1007.2415,1001.3134,1,0,1,0
