id,value,nok,ffiak,wage_dif,gender_dom,relevant_wagedif_norm,wage_sign,id_labels
0.33.29,315,258,57,587.84601,2,1,1,"0.Customer services occupations.Business related services administrators, agents"
0.33.29.32,61,53,8,56.899845,2,0,1,"0.Customer services occupations.Business related services administrators, agents.Office clerks"
0.33.31,84,62,22,586.00049,2,1,1,0.Customer services occupations.Other administrators
0.33.32,238,206,32,255.27338,2,0,1,0.Customer services occupations.Office clerks
0.33.34,316,266,50,222.44617,2,0,1,0.Customer services occupations.Commercial and catering occupations
0.33.35,59,31,28,683.64178,0,1,1,0.Customer services occupations.Service workers
0.33.48,132,79,53,89.247391,0,0,1,0.Customer services occupations.Occupations not requiring qualifications
0.34,9998,6549,3449,,2,,,0.Commercial and catering occupations
0.34.15,606,299,307,228.16452,0,0,1,"0.Commercial and catering occupations.Managing directors, managers"
0.34.15.34,259,137,122,87.033218,0,0,1,"0.Commercial and catering occupations.Managing directors, managers.Commercial and catering occupations"
0.34.15.34.15,67,35,32,323.18842,0,0,1,"0.Commercial and catering occupations.Managing directors, managers.Commercial and catering occupations.Managing directors, managers"
0.34.17,74,24,50,4008.2727,1,1,1,"0.Commercial and catering occupations.Technical, information technology, science related professionals"
0.34.20,127,107,20,1182.5199,2,1,1,"0.Commercial and catering occupations.Educators, teachers"
0.34.21,172,95,77,1476.5542,0,1,1,"0.Commercial and catering occupations.Business type, legal and social sciences professionals"
0.34.23,65,41,24,2015.9126,2,1,1,0.Commercial and catering occupations.Other highly qualified executives
0.34.24,220,95,125,822.30396,0,1,1,0.Commercial and catering occupations.Technicians and technical professionals
0.34.26,89,77,12,683.89667,2,1,1,0.Commercial and catering occupations.Health professionals
0.34.28,58,54,4,119.60806,2,0,1,"0.Commercial and catering occupations.Social health care, labour market services professionals"
0.34.29,866,616,250,973.61835,2,1,1,"0.Commercial and catering occupations.Business related services administrators, agents"
0.34.29.15,59,38,21,76.869003,2,0,1,"0.Commercial and catering occupations.Business related services administrators, agents.Managing directors, managers"
0.34.29.32,90,86,4,282.34811,2,0,1,"0.Commercial and catering occupations.Business related services administrators, agents.Office clerks"
0.34.29.33,105,87,18,140.15619,2,0,1,"0.Commercial and catering occupations.Business related services administrators, agents.Customer services occupations"
0.34.29.34,193,136,57,63.25449,2,0,1,"0.Commercial and catering occupations.Business related services administrators, agents.Commercial and catering occupations"
0.34.31,224,166,58,853.03143,2,1,1,0.Commercial and catering occupations.Other administrators
0.34.32,667,593,74,568.03552,2,1,1,0.Commercial and catering occupations.Office clerks
0.34.32.29,89,83,6,600.8985,2,1,1,"0.Commercial and catering occupations.Office clerks.Business related services administrators, agents"
0.34.32.34,132,119,13,241.79269,2,0,1,0.Commercial and catering occupations.Office clerks.Commercial and catering occupations
0.34.33,762,644,118,391.48621,2,0,1,0.Commercial and catering occupations.Customer services occupations
0.34.33.29,83,70,13,194.81671,2,0,1,"0.Commercial and catering occupations.Customer services occupations.Business related services administrators, agents"
0.34.33.32,70,65,5,196.78488,2,0,1,0.Commercial and catering occupations.Customer services occupations.Office clerks
0.34.33.34,323,284,39,152.63066,2,0,1,0.Commercial and catering occupations.Customer services occupations.Commercial and catering occupations
0.34.35,506,323,183,260.15894,2,0,1,0.Commercial and catering occupations.Service workers
0.34.35.34,118,86,32,249.08733,2,0,1,0.Commercial and catering occupations.Service workers.Commercial and catering occupations
0.34.35.48,78,38,40,51.874126,0,0,1,0.Commercial and catering occupations.Service workers.Occupations not requiring qualifications
0.34.38,135,65,70,328.45416,0,0,1,0.Commercial and catering occupations.Food processing workers
0.34.39,89,48,41,144.36128,0,0,1,0.Commercial and catering occupations.Light industry occupations
0.34.40,191,54,137,698.24152,1,1,1,0.Commercial and catering occupations.Metal and electrical industry occupations
0.34.42,66,1,65,355.94846,1,0,1,0.Commercial and catering occupations.Building industry occupations
0.34.44,306,208,98,468.68338,2,1,1,0.Commercial and catering occupations.Manufacturing machine operators
0.34.44.34,72,49,23,243.31786,2,0,1,0.Commercial and catering occupations.Manufacturing machine operators.Commercial and catering occupations
0.34.44.48,61,39,22,603.19397,2,1,1,0.Commercial and catering occupations.Manufacturing machine operators.Occupations not requiring qualifications
0.34.45,322,238,84,386.82642,2,0,1,0.Commercial and catering occupations.Assemblers
0.34.45.34,78,59,19,192.80875,2,0,1,0.Commercial and catering occupations.Assemblers.Commercial and catering occupations
0.34.45.48,80,59,21,173.64513,2,0,1,0.Commercial and catering occupations.Assemblers.Occupations not requiring qualifications
0.34.47,169,21,148,311.51633,1,0,1,0.Commercial and catering occupations.Drivers and mobile machinery operators
0.34.48,2051,1263,788,167.37955,2,0,1,0.Commercial and catering occupations.Occupations not requiring qualifications
0.34.48.29,58,30,28,644.44501,0,1,1,"0.Commercial and catering occupations.Occupations not requiring qualifications.Business related services administrators, agents"
0.34.48.32,77,67,10,-75.338577,2,0,0,0.Commercial and catering occupations.Occupations not requiring qualifications.Office clerks
0.34.48.34,725,444,281,69.889603,2,0,1,0.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations
0.34.48.34.48,211,124,87,26.435492,0,0,1,0.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations.Occupations not requiring qualifications
0.34.48.34.48.34,79,41,38,266.97092,0,0,1,0.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations.Occupations not requiring qualifications.Commercial and catering occupations
0.34.48.35,93,57,36,289.53821,2,0,1,0.Commercial and catering occupations.Occupations not requiring qualifications.Service workers
0.34.48.44,79,44,35,475.01456,0,1,1,0.Commercial and catering occupations.Occupations not requiring qualifications.Manufacturing machine operators
0.34.48.45,75,47,28,274.37286,2,0,1,0.Commercial and catering occupations.Occupations not requiring qualifications.Assemblers
0.35,2642,1246,1396,,0,,,0.Service workers
0.35.12,73,13,60,.65176034,1,0,1,0.Service workers.Armed forces (s)
0.35.15,59,24,35,304.77933,0,0,1,"0.Service workers.Managing directors, managers"
0.35.24,57,15,42,1190.5704,1,1,1,0.Service workers.Technicians and technical professionals
0.35.26,110,81,29,534.29376,2,1,1,0.Service workers.Health professionals
0.35.29,147,83,64,931.40271,0,1,1,"0.Service workers.Business related services administrators, agents"
0.35.32,88,68,20,458.73236,2,1,1,0.Service workers.Office clerks
0.35.33,77,42,35,325.46857,0,0,1,0.Service workers.Customer services occupations
0.35.34,291,186,105,199.19164,2,0,1,0.Service workers.Commercial and catering occupations
0.35.34.48,60,29,31,-19.027548,0,0,0,0.Service workers.Commercial and catering occupations.Occupations not requiring qualifications
0.35.40,60,1,59,548.61414,1,1,1,0.Service workers.Metal and electrical industry occupations
0.35.47,81,2,79,265.14651,1,0,1,0.Service workers.Drivers and mobile machinery operators
0.35.48,390,130,260,138.94453,1,0,1,0.Service workers.Occupations not requiring qualifications
0.35.48.35,85,26,59,554.91492,1,1,1,0.Service workers.Occupations not requiring qualifications.Service workers
0.36,585,166,419,,1,,,0.Agricultural occupations
0.36.48,230,60,170,212.13718,1,0,1,0.Agricultural occupations.Occupations not requiring qualifications
0.37,126,15,111,,1,,,"0.Forestry, game-farming and fisheries "
0.38,1066,387,679,,1,,,0.Food processing workers
0.38.34,132,66,66,-11.164885,0,0,0,0.Food processing workers.Commercial and catering occupations
0.38.44,80,26,54,300.01639,1,0,1,0.Food processing workers.Manufacturing machine operators
0.38.48,377,140,237,108.75576,1,0,1,0.Food processing workers.Occupations not requiring qualifications
0.38.48.38,66,18,48,354.98569,1,0,1,0.Food processing workers.Occupations not requiring qualifications.Food processing workers
0.39,1392,491,901,,1,,,0.Light industry occupations
0.39.34,104,60,44,424.87619,0,0,1,0.Light industry occupations.Commercial and catering occupations
0.39.40,77,17,60,196.01315,1,0,1,0.Light industry occupations.Metal and electrical industry occupations
0.39.42,95,0,95,57.946831,1,0,1,0.Light industry occupations.Building industry occupations
0.39.44,157,69,88,292.65671,0,0,1,0.Light industry occupations.Manufacturing machine operators
0.39.45,73,37,36,529.74829,0,1,1,0.Light industry occupations.Assemblers
0.39.48,415,145,270,211.27739,1,0,1,0.Light industry occupations.Occupations not requiring qualifications
0.39.48.39,56,15,41,124.92434,1,0,1,0.Light industry occupations.Occupations not requiring qualifications.Light industry occupations
0.40,2667,301,2366,,1,,,0.Metal and electrical industry occupations
0.40.24,188,6,182,729.39081,1,1,1,0.Metal and electrical industry occupations.Technicians and technical professionals
0.40.29,60,8,52,982.61975,1,1,1,"0.Metal and electrical industry occupations.Business related services administrators, agents"
0.40.34,152,41,111,180.25179,1,0,1,0.Metal and electrical industry occupations.Commercial and catering occupations
0.40.35,99,7,92,111.43266,1,0,1,0.Metal and electrical industry occupations.Service workers
0.40.42,147,0,147,156.069,1,0,1,0.Metal and electrical industry occupations.Building industry occupations
0.40.42.40,58,0,58,801.80835,1,1,1,0.Metal and electrical industry occupations.Building industry occupations.Metal and electrical industry occupations
0.40.44,241,40,201,207.75223,1,0,1,0.Metal and electrical industry occupations.Manufacturing machine operators
0.40.44.40,63,5,58,462.6951,1,1,1,0.Metal and electrical industry occupations.Manufacturing machine operators.Metal and electrical industry occupations
0.40.45,211,57,154,207.11484,1,0,1,0.Metal and electrical industry occupations.Assemblers
0.40.47,159,1,158,237.74477,1,0,1,0.Metal and electrical industry occupations.Drivers and mobile machinery operators
0.40.48,549,67,482,124.66645,1,0,1,0.Metal and electrical industry occupations.Occupations not requiring qualifications
0.40.48.40,144,3,141,599.82721,1,1,1,0.Metal and electrical industry occupations.Occupations not requiring qualifications.Metal and electrical industry occupations
0.41,161,75,86,,0,,,0.Handicraft workers
0.42,1707,12,1695,,1,,,0.Building industry occupations
0.42.34,82,3,79,286.47543,1,0,1,0.Building industry occupations.Commercial and catering occupations
0.42.40,190,1,189,347.25305,1,0,1,0.Building industry occupations.Metal and electrical industry occupations
0.42.44,79,0,79,308.9892,1,0,1,0.Building industry occupations.Manufacturing machine operators
0.42.45,57,0,57,300.32104,1,0,1,0.Building industry occupations.Assemblers
0.42.47,60,0,60,439.17587,1,0,1,0.Building industry occupations.Drivers and mobile machinery operators
0.42.48,607,2,605,115.37175,1,0,1,0.Building industry occupations.Occupations not requiring qualifications
0.42.48.42,236,0,236,-3.9408772,1,0,0,0.Building industry occupations.Occupations not requiring qualifications.Building industry occupations
0.42.48.42.48,104,0,104,-383.48416,1,0,0,0.Building industry occupations.Occupations not requiring qualifications.Building industry occupations.Occupations not requiring qualifications
0.43,139,9,130,,1,,,0.Other industry and construction industry occupations
0.43.48,56,2,54,214.23131,1,0,1,0.Other industry and construction industry occupations.Occupations not requiring qualifications
0.44,2189,824,1365,,1,,,0.Manufacturing machine operators
0.44.24,124,31,93,634.76184,1,1,1,0.Manufacturing machine operators.Technicians and technical professionals
0.44.34,201,130,71,354.10825,2,0,1,0.Manufacturing machine operators.Commercial and catering occupations
0.44.34.48,57,43,14,25.669609,2,0,1,0.Manufacturing machine operators.Commercial and catering occupations.Occupations not requiring qualifications
0.44.35,73,23,50,395.38068,1,0,1,0.Manufacturing machine operators.Service workers
0.44.39,93,39,54,112.6375,0,0,1,0.Manufacturing machine operators.Light industry occupations
0.44.40,214,29,185,339.09949,1,0,1,0.Manufacturing machine operators.Metal and electrical industry occupations
0.44.42,67,2,65,81.088036,1,0,1,0.Manufacturing machine operators.Building industry occupations
0.44.45,293,154,139,298.3009,0,0,1,0.Manufacturing machine operators.Assemblers
0.44.45.44,65,35,30,136.59419,0,0,1,0.Manufacturing machine operators.Assemblers.Manufacturing machine operators
0.44.45.48,81,35,46,-83.629684,0,0,0,0.Manufacturing machine operators.Assemblers.Occupations not requiring qualifications
0.44.48,572,205,367,70.264404,1,0,1,0.Manufacturing machine operators.Occupations not requiring qualifications
0.44.48.44,97,25,72,426.86658,1,0,1,0.Manufacturing machine operators.Occupations not requiring qualifications.Manufacturing machine operators
0.44.48.45,66,35,31,358.85382,0,0,1,0.Manufacturing machine operators.Occupations not requiring qualifications.Assemblers
0.45,1972,1037,935,,0,,,0.Assemblers
0.45.24,93,43,50,561.54565,0,1,1,0.Assemblers.Technicians and technical professionals
0.45.34,203,146,57,114.36507,2,0,1,0.Assemblers.Commercial and catering occupations
0.45.35,66,29,37,352.7464,0,0,1,0.Assemblers.Service workers
