id,value,wagedif,relevant_wagedif_abs,wage_sign,gender_dom,relevant_wagedif_rel
0.48.42.48.42,70,243.94368,1,1,1,3
0.48.43,125,161.15207,0,1,1,1
0.48.43.48,74,122.80605,0,1,1,2
0.48.44,630,449.80533,1,1,1,1
0.48.44.45,70,205.63347,0,1,0,2
0.48.44.48,253,-5.1177282,0,0,1,2
0.48.45,626,404.6539,1,1,0,1
0.48.45.44,72,164.8671,0,1,0,2
0.48.45.48,269,8.6834583,0,1,0,2
0.48.46,98,474.17801,1,1,1,1
0.48.47,356,241.30574,0,1,1,1
0.48.47.48,120,15.750889,0,1,1,2
