id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0.34.48.34.48.34.15,5,1,4,34.824924,9447.0967,8281.7793,1,1,1,0,1,0,0
0.34.48.47,5,0,5,-3.3451259,,3433.4897,,3.5999999,1,0,0,,
0.34.48.50,5,1,4,-547.93146,8769.6426,2024.2321,1,25,1,0,0,0,1
0.34.50,23,13,10,-940.77881,1102.1786,1155.703,6.8461537,10.3,0,0,0,1,1
0.34.50.15,6,4,2,226.31097,5874.3984,5766.1211,1,1,2,0,1,0,0
0.34.50.34,10,6,4,861.71368,712.90417,511.51215,9.5,26,0,1,1,0,1
0.34.50.34.15,7,3,4,37.234776,4491.7739,14617.545,1,1,0,0,1,1,0
0.35,149,62,86,,1829.2759,1767.6226,7.3870969,9.1860466,0,,,0,1
0.35.15,28,7,20,1153.7168,7008.7246,8086.4214,1,1,1,1,1,1,0
0.35.29,11,6,5,935.83655,644.81482,1467.476,41.333332,8,0,1,1,1,0
0.35.29.15,5,2,3,197.56879,21774.145,9839.251,1,1,1,0,1,0,0
0.35.32,6,4,2,1293.8995,585.58502,943.44739,9,13,2,1,1,1,1
0.35.33,9,5,4,2441.2554,1407.7162,1393.1086,21.799999,13.25,0,1,1,0,0
0.35.34,27,16,11,732.11475,1109.9755,946.12372,14.3125,16.09091,0,1,1,0,1
0.35.34.15,10,6,4,98.389374,9729.9219,9019.6738,1,1,0,0,1,0,0
0.35.48,16,6,10,440.05212,1970.8176,2155.6875,10.333333,9.8999996,1,0,1,1,0
0.35.48.15,6,2,4,346.73648,7590.8408,6123.5576,1,1,1,0,1,0,0
0.35.50,6,2,4,5.7888646,77.853889,746.72913,45,9,1,0,1,1,0
0.36,70,21,48,,2197.4355,1852.1193,3.2380953,8.145833,1,,,0,1
0.36.15,15,2,12,1015.1514,3936.145,7289.8652,1,1,1,1,1,1,0
0.36.34,10,4,6,1228.6105,253.69974,1361.1199,19.75,15.5,1,1,1,1,0
0.36.48,13,3,10,878.62402,3236.3245,1502.8628,4.3333335,18.799999,1,1,1,0,1
0.37,12,2,9,,2327.3501,1594.6721,1,11.666667,1,,,0,1
0.38,110,31,76,,1975.8127,1557.1505,9.8387098,21.302631,1,,,0,1
0.38.15,23,5,18,258.02911,6115.1694,9034.9248,1,1,1,0,1,1,0
0.38.34,19,7,12,1072.7008,524.75287,1607.5173,31.142857,16.583334,1,1,1,1,0
0.38.34.15,10,5,5,660.6593,9949.8076,8373.0723,1,1,0,1,1,0,0
0.38.35,5,0,5,1211.4243,,953.51105,,18.6,1,1,1,,
0.38.40,5,1,4,1249.6501,299.60483,1963.5228,17,9.25,1,1,1,1,0
0.38.44,13,2,10,1914.3845,752.73901,789.68085,7,29.4,1,1,1,1,1
0.38.44.15,5,1,4,33.96904,5382.6772,11677.905,1,1,1,0,1,1,0
0.38.48,22,7,14,252.85764,1421.4849,1271.4869,16,9.7857141,1,0,1,0,0
0.38.48.15,8,3,4,130.6485,9352.6484,5931.2017,1,1,0,0,1,0,0
0.38.48.38,6,0,6,873.79163,,4235.8501,,8.666667,1,1,1,,
