id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,wagegap_wlimit,wagegap2,wagegap_controlled,wagegap_controlled_wlimit,tenure_dif,manag_av
0.38.48.34,4,3,1,-27800.031,104606,70662,34.333332,2,2,0,0,0,,0,0,,0,
0.38.48.38,5,0,5,178068.92,,108175.65,,10.2,1,1,1,,,,,,,
0.39,39,10,29,,67956.531,65101.172,13.8,16,1,,,0,0,0,1,1,1,
0.39.15,9,1,8,431611.94,93545.445,169732.13,9,8.5,1,1,1,1,,1,1,,0,0
0.39.34,8,4,4,99906.141,128765.91,105283.66,19.75,62.5,0,0,1,0,0,0,0,0,1,
0.39.34.15,7,3,4,72972.609,206504.08,210884.67,3.3333333,7.75,0,0,1,1,1,0,1,1,1,0
0.39.48,5,2,3,406462.34,114401.91,148089.31,4.5,32.666668,1,1,1,1,1,1,1,1,1,
0.40,120,22,98,,59175.191,98276.523,3.2727273,15.377551,1,,,1,1,1,1,1,1,
0.40.15,22,1,21,62785.469,47776,217625.25,1,15.095238,1,0,1,1,,1,0,,1,0
0.40.17,6,0,6,908829.31,,169150.81,,21.666666,1,1,1,,,,,,,
0.40.24,8,1,7,608286.06,66434,256467.83,2,28.857143,1,1,1,1,,1,1,,1,
0.40.29,8,3,5,654892.56,163640.2,192428.19,25.333334,21.799999,1,1,1,1,1,1,1,1,0,
0.40.34,22,11,11,345665.13,109388.71,101406.14,22.363636,25.09091,0,1,1,0,0,0,1,1,1,
0.40.34.15,9,4,5,23502.824,293632.5,162715.14,18.25,28.799999,0,0,1,0,0,0,0,0,1,0
0.40.34.48,4,1,3,123756.93,50750,86746.5,8,1.6666666,1,0,1,1,,1,1,,0,
0.40.42,4,0,4,-113261.74,,116512.11,,5.75,1,0,0,,,,,,,
0.40.44,7,1,6,203854.41,123498,101680.48,4,15.166667,1,1,1,0,,0,0,,1,
0.40.45,7,1,6,264812.5,131667,126674.06,4,19.5,1,1,1,0,,0,0,,1,
