id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,wagegap_wlimit,wagegap2,wagegap_controlled,wagegap_controlled_wlimit,tenure_dif,manag_av
0.48.33.34,11,8,3,52088.457,117921.61,126281.95,25.625,39.333332,2,0,1,1,1,1,1,1,1,
0.48.33.34.15,8,5,3,29660.053,198684.56,183594,8.1999998,5.6666665,2,0,1,0,0,0,0,0,0,0
0.48.33.48,4,2,2,948235.5,139341.28,135280.34,14,7,0,1,1,0,0,0,1,1,0,
0.48.34,233,126,107,242628.73,93606.313,101138.05,20.261906,17.495327,0,1,1,1,1,1,1,1,0,
0.48.34.15,116,62,54,87784.68,185307.92,200673.89,13.16129,16.611111,0,0,1,1,1,1,1,1,1,0
0.48.34.29,13,8,5,160050.64,104898.72,104966.41,14.25,19.6,2,1,1,1,1,0,0,0,1,
0.48.34.29.15,4,3,1,38608.02,182072.86,170345.92,26.666666,42,2,0,1,0,,0,1,,1,0
0.48.34.32,4,3,1,250142.86,65957.156,51252.727,22.333334,22,2,1,1,0,,0,1,,0,
0.48.34.33,14,9,5,108595.77,91125.641,123610.88,15.111111,5.1999998,2,0,1,1,1,1,1,1,0,
0.48.34.33.15,5,2,3,118159.21,142868.83,281934.22,30,15.333333,1,0,1,1,1,1,1,1,0,0
0.48.34.33.34,6,5,1,29223.063,100454.3,108986,23.799999,6,2,0,1,1,,1,1,,0,
0.48.34.33.34.15,5,5,0,51987.988,175685.64,,14.4,,2,0,1,,,,,,,0
0.48.34.40,4,1,3,14305.304,81174,69936.008,6,14,1,0,1,0,,0,0,,1,
0.48.34.48,47,28,19,45540.273,76503.281,83306.789,8.9642859,13.421053,0,0,1,1,1,1,1,1,1,
0.48.34.48.15,14,9,5,238607.94,204534.89,158733.8,17.888889,26.6,2,1,1,0,0,0,0,0,1,0
0.48.34.48.34,24,15,9,188747.11,110973,110108.95,13.533334,10.666667,2,1,1,0,0,0,1,1,0,
0.48.34.48.34.15,13,9,4,49031.941,192526.52,138178.5,12.555555,6.75,2,0,1,0,0,0,1,1,0,0
0.48.34.48.34.48,8,3,5,-49616.695,85885.703,65072.012,7.6666665,6.1999998,1,0,0,0,0,0,0,0,0,
0.48.34.48.34.48.34,5,2,3,-28923.27,73847.063,113979.09,13,15.333333,1,0,0,1,1,1,1,1,1,
0.48.34.50,7,3,4,-78563.023,61958.418,86894.5,5.6666665,6,0,0,0,1,1,1,,,1,
0.48.34.50.34,5,3,2,192529.69,103141.9,49636.832,21.333334,3,0,1,1,0,0,0,1,1,0,
0.48.35,23,4,19,200009.34,62072.973,104596.92,9.5,15.578947,1,1,1,1,1,1,1,1,1,
0.48.35.15,8,0,8,16297.216,,104416.01,,10.25,1,0,1,,,,,,,0
0.48.35.48,5,1,4,-37244.223,13005.667,78876,9,15,1,0,0,1,,1,1,,1,
0.48.36,10,1,9,355056.59,68957,145665.63,2,7.3333335,1,1,1,1,,1,1,,1,
0.48.38,6,3,3,264953,88479.5,107350.75,2.3333333,14,0,1,1,1,1,1,1,1,1,
0.48.39,12,4,8,109341.3,48088.973,83069.359,7.5,11.125,1,0,1,1,1,1,1,1,1,
0.48.39.48,6,2,4,34014.906,73574.219,80349.609,5,12.25,1,0,1,1,1,1,0,0,1,
0.48.40,21,2,19,334188.31,81527.875,108591.95,17,20.736841,1,1,1,1,1,1,1,1,1,
0.48.40.24,4,0,4,183609.69,,246634.03,,6.25,1,1,1,,,,,,,
0.48.40.48,5,0,5,44571.906,,73498.453,,6.5999999,1,0,1,,,,,,,
0.48.42,13,0,13,214706.48,,88352.852,,13.153846,1,1,1,,,,,,,
0.48.42.48,4,0,4,-120057.96,,61865.031,,14.25,1,0,0,,,,,,,
0.48.43,6,0,6,88093.781,,97022.773,,9.333333,1,0,1,,,,,,,
0.48.44,24,5,19,311830.22,80174.461,105410.45,2,13.157895,1,1,1,1,1,1,1,1,1,
0.48.44.15,6,1,5,27188.445,95163,135903.02,1,3.5999999,1,0,1,1,,1,0,,1,0
0.48.44.48,7,2,5,42575.488,75421.625,89192.383,2.5,9,1,0,1,1,1,1,1,1,1,
0.48.45,28,10,18,244363.41,96113.93,121075.09,17.5,8.7222223,1,1,1,1,1,1,1,1,0,
0.48.45.15,6,1,5,691849.63,344863.44,251174.59,7,10.4,1,1,1,0,,0,0,,1,1
0.48.45.34,7,5,2,30513.641,109039.92,140118.22,18.4,5.5,2,0,1,1,1,1,1,1,0,
0.48.45.34.48,4,2,2,-82088.992,131545.63,109898.66,19,21,0,0,0,0,0,0,0,0,1,
0.48.45.44,4,1,3,43190.145,72401,170829.05,1,14.666667,1,0,1,1,,1,1,,1,
0.48.45.48,5,0,5,-184414.84,,39551.594,,9.3999996,1,0,0,,,,,,,
0.48.46,7,1,6,209266.23,98575.406,123050.14,22,14.5,1,1,1,1,,1,1,,0,
0.48.47,21,1,20,56454.605,69977,124939.77,1,19.299999,1,0,1,1,,1,1,,1,
0.48.47.15,6,0,6,68536.164,,217070.66,,16.5,1,0,1,,,,,,,0
0.48.47.34,4,0,4,28285.893,,170092.89,,27,1,0,1,,,,,,,
0.48.47.48,6,0,6,-17133.781,,102379.69,,15.666667,1,0,0,,,,,,,
0.48.50,12,0,12,29624.945,,88120.031,,12.166667,1,0,1,,,,,,,
0.48.50.15,5,0,5,75490.523,,207762.22,,7.5999999,1,0,1,,,,,,,0
0.50,45,16,29,,72865.344,84287.109,11.125,16.586206,1,,,1,1,1,,,1,
0.50.15,10,2,8,17083.336,82550.25,186027.86,3.5,53.125,1,0,1,1,1,1,1,1,1,0
0.50.33,4,4,0,130928.5,96749.75,,11.5,,2,0,1,,,,,,,
0.50.34,6,5,1,48146.574,102586.39,168714.86,9.8000002,7,2,0,1,1,,1,1,,0,
0.50.35,5,2,3,52040.453,66591.969,91900.719,8,14.666667,1,0,1,1,1,1,1,1,1,
13,8,,,,,,,,,,,,,,,,,
14,121,,,,,,,,,,,,,,,,,
15,3713,,,,,,,,,,,,,,,,,
16,134,,,,,,,,,,,,,,,,,
16.15,99,,,,,,,,,,,,,,,,,
16.21,4,,,,,,,,,,,,,,,,,
16.24,4,,,,,,,,,,,,,,,,,
16.34,14,,,,,,,,,,,,,,,,,
16.34.15,11,,,,,,,,,,,,,,,,,
17,122,,,,,,,,,,,,,,,,,
17.15,75,,,,,,,,,,,,,,,,,
17.21,5,,,,,,,,,,,,,,,,,
17.24,22,,,,,,,,,,,,,,,,,
17.24.15,11,,,,,,,,,,,,,,,,,
17.24.17,6,,,,,,,,,,,,,,,,,
17.24.17.15,6,,,,,,,,,,,,,,,,,
17.29,8,,,,,,,,,,,,,,,,,
17.31,4,,,,,,,,,,,,,,,,,
18,7,,,,,,,,,,,,,,,,,
18.15,5,,,,,,,,,,,,,,,,,
19,9,,,,,,,,,,,,,,,,,
19.15,5,,,,,,,,,,,,,,,,,
20,20,,,,,,,,,,,,,,,,,
20.15,9,,,,,,,,,,,,,,,,,
21,141,,,,,,,,,,,,,,,,,
21.15,74,,,,,,,,,,,,,,,,,
21.23,4,,,,,,,,,,,,,,,,,
21.24,4,,,,,,,,,,,,,,,,,
21.29,34,,,,,,,,,,,,,,,,,
21.29.15,17,,,,,,,,,,,,,,,,,
21.29.21,7,,,,,,,,,,,,,,,,,
21.29.21.15,5,,,,,,,,,,,,,,,,,
21.31,5,,,,,,,,,,,,,,,,,
21.32,4,,,,,,,,,,,,,,,,,
21.34,10,,,,,,,,,,,,,,,,,
21.48,4,,,,,,,,,,,,,,,,,
21.50,4,,,,,,,,,,,,,,,,,
22,23,,,,,,,,,,,,,,,,,
22.15,11,,,,,,,,,,,,,,,,,
22.34,4,,,,,,,,,,,,,,,,,
23,61,,,,,,,,,,,,,,,,,
23.15,28,,,,,,,,,,,,,,,,,
23.17,4,,,,,,,,,,,,,,,,,
23.29,6,,,,,,,,,,,,,,,,,
23.29.15,4,,,,,,,,,,,,,,,,,
23.31,4,,,,,,,,,,,,,,,,,
24,246,,,,,,,,,,,,,,,,,
24.15,110,,,,,,,,,,,,,,,,,
24.16,14,,,,,,,,,,,,,,,,,
24.16.15,8,,,,,,,,,,,,,,,,,
24.17,30,,,,,,,,,,,,,,,,,
24.17.15,25,,,,,,,,,,,,,,,,,
24.29,11,,,,,,,,,,,,,,,,,
24.29.15,5,,,,,,,,,,,,,,,,,
24.29.24,4,,,,,,,,,,,,,,,,,
24.31,8,,,,,,,,,,,,,,,,,
24.32,11,,,,,,,,,,,,,,,,,
24.32.15,5,,,,,,,,,,,,,,,,,
24.33,7,,,,,,,,,,,,,,,,,
24.34,16,,,,,,,,,,,,,,,,,
24.34.15,10,,,,,,,,,,,,,,,,,
24.35,6,,,,,,,,,,,,,,,,,
24.40,7,,,,,,,,,,,,,,,,,
24.40.15,4,,,,,,,,,,,,,,,,,
24.42,4,,,,,,,,,,,,,,,,,
24.44,6,,,,,,,,,,,,,,,,,
24.45,4,,,,,,,,,,,,,,,,,
24.48,20,,,,,,,,,,,,,,,,,
24.48.15,10,,,,,,,,,,,,,,,,,
24.50,4,,,,,,,,,,,,,,,,,
26,30,,,,,,,,,,,,,,,,,
26.15,8,,,,,,,,,,,,,,,,,
26.29,6,,,,,,,,,,,,,,,,,
26.32,4,,,,,,,,,,,,,,,,,
27,17,,,,,,,,,,,,,,,,,
27.15,4,,,,,,,,,,,,,,,,,
27.31,4,,,,,,,,,,,,,,,,,
28,28,,,,,,,,,,,,,,,,,
28.15,7,,,,,,,,,,,,,,,,,
28.34,8,,,,,,,,,,,,,,,,,
28.34.15,4,,,,,,,,,,,,,,,,,
29,624,,,,,,,,,,,,,,,,,
29.15,309,,,,,,,,,,,,,,,,,
29.16,5,,,,,,,,,,,,,,,,,
29.17,9,,,,,,,,,,,,,,,,,
29.17.15,7,,,,,,,,,,,,,,,,,
29.21,38,,,,,,,,,,,,,,,,,
29.21.15,21,,,,,,,,,,,,,,,,,
29.21.29,12,,,,,,,,,,,,,,,,,
29.21.29.15,7,,,,,,,,,,,,,,,,,
29.23,10,,,,,,,,,,,,,,,,,
29.23.15,5,,,,,,,,,,,,,,,,,
29.24,16,,,,,,,,,,,,,,,,,
29.24.15,10,,,,,,,,,,,,,,,,,
29.31,20,,,,,,,,,,,,,,,,,
29.31.15,7,,,,,,,,,,,,,,,,,
29.32,46,,,,,,,,,,,,,,,,,
29.32.15,12,,,,,,,,,,,,,,,,,
29.32.21,4,,,,,,,,,,,,,,,,,
29.32.29,14,,,,,,,,,,,,,,,,,
29.32.29.15,7,,,,,,,,,,,,,,,,,
29.32.31,5,,,,,,,,,,,,,,,,,
29.32.34,6,,,,,,,,,,,,,,,,,
29.32.34.15,4,,,,,,,,,,,,,,,,,
29.33,62,,,,,,,,,,,,,,,,,
29.33.15,33,,,,,,,,,,,,,,,,,
29.33.29,11,,,,,,,,,,,,,,,,,
29.33.34,10,,,,,,,,,,,,,,,,,
29.33.34.15,7,,,,,,,,,,,,,,,,,
29.34,96,,,,,,,,,,,,,,,,,
29.34.15,55,,,,,,,,,,,,,,,,,
29.34.29,11,,,,,,,,,,,,,,,,,
29.34.29.15,5,,,,,,,,,,,,,,,,,
29.34.32,6,,,,,,,,,,,,,,,,,
29.34.32.15,4,,,,,,,,,,,,,,,,,
29.34.33,7,,,,,,,,,,,,,,,,,
29.34.33.15,5,,,,,,,,,,,,,,,,,
29.34.48,6,,,,,,,,,,,,,,,,,
29.35,7,,,,,,,,,,,,,,,,,
29.45,5,,,,,,,,,,,,,,,,,
29.47,7,,,,,,,,,,,,,,,,,
29.48,37,,,,,,,,,,,,,,,,,
29.48.15,8,,,,,,,,,,,,,,,,,
29.48.29,7,,,,,,,,,,,,,,,,,
29.48.29.15,4,,,,,,,,,,,,,,,,,
29.48.34,16,,,,,,,,,,,,,,,,,
29.48.34.15,8,,,,,,,,,,,,,,,,,
29.48.34.48,4,,,,,,,,,,,,,,,,,
29.50,12,,,,,,,,,,,,,,,,,
29.50.15,5,,,,,,,,,,,,,,,,,
30,32,,,,,,,,,,,,,,,,,
30.15,9,,,,,,,,,,,,,,,,,
30.29,5,,,,,,,,,,,,,,,,,
30.29.15,5,,,,,,,,,,,,,,,,,
30.34,5,,,,,,,,,,,,,,,,,
30.48,4,,,,,,,,,,,,,,,,,
30.50,5,,,,,,,,,,,,,,,,,
31,213,,,,,,,,,,,,,,,,,
31.14,6,,,,,,,,,,,,,,,,,
31.15,63,,,,,,,,,,,,,,,,,
31.17,5,,,,,,,,,,,,,,,,,
31.17.15,4,,,,,,,,,,,,,,,,,
31.21,10,,,,,,,,,,,,,,,,,
31.21.15,6,,,,,,,,,,,,,,,,,
31.23,9,,,,,,,,,,,,,,,,,
31.23.15,4,,,,,,,,,,,,,,,,,
31.24,9,,,,,,,,,,,,,,,,,
31.29,29,,,,,,,,,,,,,,,,,
31.29.15,15,,,,,,,,,,,,,,,,,
31.29.21,5,,,,,,,,,,,,,,,,,
31.32,15,,,,,,,,,,,,,,,,,
31.32.15,4,,,,,,,,,,,,,,,,,
31.33,11,,,,,,,,,,,,,,,,,
31.33.15,5,,,,,,,,,,,,,,,,,
31.33.34,4,,,,,,,,,,,,,,,,,
31.34,29,,,,,,,,,,,,,,,,,
31.34.15,14,,,,,,,,,,,,,,,,,
31.34.48,4,,,,,,,,,,,,,,,,,
31.48,18,,,,,,,,,,,,,,,,,
31.48.15,10,,,,,,,,,,,,,,,,,
31.50,6,,,,,,,,,,,,,,,,,
32,389,,,,,,,,,,,,,,,,,
32.14,4,,,,,,,,,,,,,,,,,
32.15,122,,,,,,,,,,,,,,,,,
32.16,8,,,,,,,,,,,,,,,,,
32.16.15,5,,,,,,,,,,,,,,,,,
32.17,5,,,,,,,,,,,,,,,,,
32.21,18,,,,,,,,,,,,,,,,,
32.21.15,7,,,,,,,,,,,,,,,,,
32.21.29,7,,,,,,,,,,,,,,,,,
32.24,9,,,,,,,,,,,,,,,,,
32.26,7,,,,,,,,,,,,,,,,,
32.29,55,,,,,,,,,,,,,,,,,
32.29.15,31,,,,,,,,,,,,,,,,,
32.29.32,8,,,,,,,,,,,,,,,,,
32.29.33,4,,,,,,,,,,,,,,,,,
32.31,29,,,,,,,,,,,,,,,,,
32.31.15,9,,,,,,,,,,,,,,,,,
32.31.29,4,,,,,,,,,,,,,,,,,
32.31.32,4,,,,,,,,,,,,,,,,,
32.33,29,,,,,,,,,,,,,,,,,
32.33.15,11,,,,,,,,,,,,,,,,,
32.33.29,7,,,,,,,,,,,,,,,,,
32.33.32,5,,,,,,,,,,,,,,,,,
32.34,67,,,,,,,,,,,,,,,,,
32.34.15,40,,,,,,,,,,,,,,,,,
32.34.29,4,,,,,,,,,,,,,,,,,
32.34.32,4,,,,,,,,,,,,,,,,,
32.34.33,5,,,,,,,,,,,,,,,,,
32.34.33.29,4,,,,,,,,,,,,,,,,,
32.34.48,7,,,,,,,,,,,,,,,,,
32.35,13,,,,,,,,,,,,,,,,,
32.35.15,6,,,,,,,,,,,,,,,,,
32.40,4,,,,,,,,,,,,,,,,,
32.44,4,,,,,,,,,,,,,,,,,
32.47,5,,,,,,,,,,,,,,,,,
32.48,31,,,,,,,,,,,,,,,,,
32.48.15,14,,,,,,,,,,,,,,,,,
32.48.34,4,,,,,,,,,,,,,,,,,
32.50,11,,,,,,,,,,,,,,,,,
32.50.32,4,,,,,,,,,,,,,,,,,
33,500,,,,,,,,,,,,,,,,,
33.15,173,,,,,,,,,,,,,,,,,
33.16,4,,,,,,,,,,,,,,,,,
33.17,4,,,,,,,,,,,,,,,,,
33.21,8,,,,,,,,,,,,,,,,,
33.24,8,,,,,,,,,,,,,,,,,
33.24.15,4,,,,,,,,,,,,,,,,,
33.29,59,,,,,,,,,,,,,,,,,
33.29.15,20,,,,,,,,,,,,,,,,,
33.29.32,6,,,,,,,,,,,,,,,,,
33.29.33,10,,,,,,,,,,,,,,,,,
33.29.33.15,5,,,,,,,,,,,,,,,,,
33.29.34,13,,,,,,,,,,,,,,,,,
33.29.34.15,8,,,,,,,,,,,,,,,,,
33.31,10,,,,,,,,,,,,,,,,,
33.32,28,,,,,,,,,,,,,,,,,
33.32.15,10,,,,,,,,,,,,,,,,,
33.32.33,6,,,,,,,,,,,,,,,,,
33.34,186,,,,,,,,,,,,,,,,,
33.34.15,112,,,,,,,,,,,,,,,,,
33.34.29,14,,,,,,,,,,,,,,,,,
33.34.29.15,8,,,,,,,,,,,,,,,,,
33.34.32,6,,,,,,,,,,,,,,,,,
33.34.33,26,,,,,,,,,,,,,,,,,
33.34.33.15,8,,,,,,,,,,,,,,,,,
33.34.33.34,8,,,,,,,,,,,,,,,,,
33.34.33.34.15,4,,,,,,,,,,,,,,,,,
33.34.33.48,4,,,,,,,,,,,,,,,,,
33.34.45,4,,,,,,,,,,,,,,,,,
33.34.48,24,,,,,,,,,,,,,,,,,
33.34.48.15,6,,,,,,,,,,,,,,,,,
33.34.48.29,4,,,,,,,,,,,,,,,,,
33.34.48.34,11,,,,,,,,,,,,,,,,,
33.34.48.34.15,8,,,,,,,,,,,,,,,,,
33.35,11,,,,,,,,,,,,,,,,,
33.35.15,5,,,,,,,,,,,,,,,,,
33.44,4,,,,,,,,,,,,,,,,,
33.45,4,,,,,,,,,,,,,,,,,
33.48,35,,,,,,,,,,,,,,,,,
33.48.15,15,,,,,,,,,,,,,,,,,
33.48.34,12,,,,,,,,,,,,,,,,,
33.48.34.15,9,,,,,,,,,,,,,,,,,
33.50,8,,,,,,,,,,,,,,,,,
34,1987,,,,,,,,,,,,,,,,,
34.14,11,,,,,,,,,,,,,,,,,
34.15,1232,,,,,,,,,,,,,,,,,
34.16,45,,,,,,,,,,,,,,,,,
34.16.15,38,,,,,,,,,,,,,,,,,
34.16.34,5,,,,,,,,,,,,,,,,,
34.16.34.15,4,,,,,,,,,,,,,,,,,
34.17,10,,,,,,,,,,,,,,,,,
34.17.15,6,,,,,,,,,,,,,,,,,
34.21,16,,,,,,,,,,,,,,,,,
34.21.15,8,,,,,,,,,,,,,,,,,
34.23,10,,,,,,,,,,,,,,,,,
34.24,15,,,,,,,,,,,,,,,,,
34.24.15,7,,,,,,,,,,,,,,,,,
34.24.34,5,,,,,,,,,,,,,,,,,
34.26,6,,,,,,,,,,,,,,,,,
34.28,4,,,,,,,,,,,,,,,,,
34.29,158,,,,,,,,,,,,,,,,,
34.29.15,70,,,,,,,,,,,,,,,,,
34.29.31,4,,,,,,,,,,,,,,,,,
34.29.32,7,,,,,,,,,,,,,,,,,
34.29.33,9,,,,,,,,,,,,,,,,,
34.29.33.15,6,,,,,,,,,,,,,,,,,
34.29.34,39,,,,,,,,,,,,,,,,,
34.29.34.15,27,,,,,,,,,,,,,,,,,
34.29.34.29,4,,,,,,,,,,,,,,,,,
34.29.48,10,,,,,,,,,,,,,,,,,
34.29.48.34,6,,,,,,,,,,,,,,,,,
34.30,6,,,,,,,,,,,,,,,,,
34.31,40,,,,,,,,,,,,,,,,,
34.31.15,9,,,,,,,,,,,,,,,,,
34.31.29,4,,,,,,,,,,,,,,,,,
34.31.34,8,,,,,,,,,,,,,,,,,
34.31.48,5,,,,,,,,,,,,,,,,,
34.32,87,,,,,,,,,,,,,,,,,
34.32.15,31,,,,,,,,,,,,,,,,,
34.32.29,8,,,,,,,,,,,,,,,,,
34.32.29.15,6,,,,,,,,,,,,,,,,,
34.32.31,4,,,,,,,,,,,,,,,,,
34.32.34,24,,,,,,,,,,,,,,,,,
34.32.34.15,14,,,,,,,,,,,,,,,,,
34.32.35,4,,,,,,,,,,,,,,,,,
34.32.48,4,,,,,,,,,,,,,,,,,
34.33,170,,,,,,,,,,,,,,,,,
34.33.15,60,,,,,,,,,,,,,,,,,
34.33.29,14,,,,,,,,,,,,,,,,,
34.33.29.15,4,,,,,,,,,,,,,,,,,
34.33.29.34,5,,,,,,,,,,,,,,,,,
34.33.32,6,,,,,,,,,,,,,,,,,
34.33.32.15,4,,,,,,,,,,,,,,,,,
34.33.34,68,,,,,,,,,,,,,,,,,
34.33.34.15,43,,,,,,,,,,,,,,,,,
34.33.34.29,4,,,,,,,,,,,,,,,,,
34.33.34.33,8,,,,,,,,,,,,,,,,,
34.33.34.33.15,4,,,,,,,,,,,,,,,,,
34.33.34.48,11,,,,,,,,,,,,,,,,,
34.33.34.48.15,4,,,,,,,,,,,,,,,,,
34.33.34.48.34,6,,,,,,,,,,,,,,,,,
34.33.34.48.34.15,4,,,,,,,,,,,,,,,,,
34.33.48,14,,,,,,,,,,,,,,,,,
34.33.48.15,5,,,,,,,,,,,,,,,,,
34.33.48.34,6,,,,,,,,,,,,,,,,,
34.33.48.34.15,4,,,,,,,,,,,,,,,,,
34.35,50,,,,,,,,,,,,,,,,,
34.35.15,18,,,,,,,,,,,,,,,,,
34.35.34,16,,,,,,,,,,,,,,,,,
34.35.34.15,10,,,,,,,,,,,,,,,,,
34.35.48,5,,,,,,,,,,,,,,,,,
34.35.50,4,,,,,,,,,,,,,,,,,
34.38,16,,,,,,,,,,,,,,,,,
34.38.15,9,,,,,,,,,,,,,,,,,
34.39,6,,,,,,,,,,,,,,,,,
34.39.34,4,,,,,,,,,,,,,,,,,
34.40,20,,,,,,,,,,,,,,,,,
34.40.15,4,,,,,,,,,,,,,,,,,
34.40.48,7,,,,,,,,,,,,,,,,,
34.40.48.34,4,,,,,,,,,,,,,,,,,
34.42,6,,,,,,,,,,,,,,,,,
34.44,22,,,,,,,,,,,,,,,,,
34.44.15,5,,,,,,,,,,,,,,,,,
34.44.34,6,,,,,,,,,,,,,,,,,
34.45,38,,,,,,,,,,,,,,,,,
34.45.15,7,,,,,,,,,,,,,,,,,
34.45.34,13,,,,,,,,,,,,,,,,,
34.45.34.15,5,,,,,,,,,,,,,,,,,
34.45.48,8,,,,,,,,,,,,,,,,,
34.47,16,,,,,,,,,,,,,,,,,
34.47.15,8,,,,,,,,,,,,,,,,,
34.48,373,,,,,,,,,,,,,,,,,
34.48.15,150,,,,,,,,,,,,,,,,,
34.48.29,21,,,,,,,,,,,,,,,,,
34.48.29.15,16,,,,,,,,,,,,,,,,,
34.48.32,9,,,,,,,,,,,,,,,,,
34.48.32.15,4,,,,,,,,,,,,,,,,,
34.48.33,18,,,,,,,,,,,,,,,,,
34.48.33.15,7,,,,,,,,,,,,,,,,,
34.48.33.34,8,,,,,,,,,,,,,,,,,
34.48.33.34.33,4,,,,,,,,,,,,,,,,,
34.48.34,143,,,,,,,,,,,,,,,,,
34.48.34.15,100,,,,,,,,,,,,,,,,,
34.48.34.29,5,,,,,,,,,,,,,,,,,
34.48.34.32,5,,,,,,,,,,,,,,,,,
34.48.34.48,30,,,,,,,,,,,,,,,,,
34.48.34.48.15,13,,,,,,,,,,,,,,,,,
34.48.34.48.34,12,,,,,,,,,,,,,,,,,
34.48.34.48.34.15,8,,,,,,,,,,,,,,,,,
34.48.34.48.34.48,5,,,,,,,,,,,,,,,,,
34.48.38,5,,,,,,,,,,,,,,,,,
34.48.45,7,,,,,,,,,,,,,,,,,
34.48.45.48,4,,,,,,,,,,,,,,,,,
34.48.47,9,,,,,,,,,,,,,,,,,
34.48.50,6,,,,,,,,,,,,,,,,,
34.48.50.15,4,,,,,,,,,,,,,,,,,
34.50,39,,,,,,,,,,,,,,,,,
34.50.15,8,,,,,,,,,,,,,,,,,
34.50.29,4,,,,,,,,,,,,,,,,,
34.50.34,18,,,,,,,,,,,,,,,,,
34.50.34.15,12,,,,,,,,,,,,,,,,,
34.50.48,4,,,,,,,,,,,,,,,,,
35,280,,,,,,,,,,,,,,,,,
35.15,85,,,,,,,,,,,,,,,,,
35.24,8,,,,,,,,,,,,,,,,,
35.29,21,,,,,,,,,,,,,,,,,
35.29.15,6,,,,,,,,,,,,,,,,,
35.29.33,5,,,,,,,,,,,,,,,,,
35.29.33.15,4,,,,,,,,,,,,,,,,,
35.31,7,,,,,,,,,,,,,,,,,
35.32,11,,,,,,,,,,,,,,,,,
35.33,12,,,,,,,,,,,,,,,,,
35.33.15,4,,,,,,,,,,,,,,,,,
35.33.34,4,,,,,,,,,,,,,,,,,
35.34,55,,,,,,,,,,,,,,,,,
35.34.15,31,,,,,,,,,,,,,,,,,
35.34.32,5,,,,,,,,,,,,,,,,,
35.34.35,8,,,,,,,,,,,,,,,,,
35.34.35.15,4,,,,,,,,,,,,,,,,,
35.34.48,6,,,,,,,,,,,,,,,,,
35.34.48.15,4,,,,,,,,,,,,,,,,,
35.42,5,,,,,,,,,,,,,,,,,
35.44,7,,,,,,,,,,,,,,,,,
35.47,5,,,,,,,,,,,,,,,,,
35.48,38,,,,,,,,,,,,,,,,,
35.48.15,13,,,,,,,,,,,,,,,,,
35.48.34,7,,,,,,,,,,,,,,,,,
35.48.34.15,5,,,,,,,,,,,,,,,,,
35.48.35,6,,,,,,,,,,,,,,,,,
35.48.35.48,4,,,,,,,,,,,,,,,,,
35.50,11,,,,,,,,,,,,,,,,,
35.50.48,4,,,,,,,,,,,,,,,,,
36,86,,,,,,,,,,,,,,,,,
36.15,26,,,,,,,,,,,,,,,,,
36.29,4,,,,,,,,,,,,,,,,,
36.34,13,,,,,,,,,,,,,,,,,
36.34.15,7,,,,,,,,,,,,,,,,,
36.40,4,,,,,,,,,,,,,,,,,
36.47,4,,,,,,,,,,,,,,,,,
36.48,14,,,,,,,,,,,,,,,,,
37,14,,,,,,,,,,,,,,,,,
37.48,4,,,,,,,,,,,,,,,,,
38,114,,,,,,,,,,,,,,,,,
38.15,35,,,,,,,,,,,,,,,,,
38.16,4,,,,,,,,,,,,,,,,,
38.24,5,,,,,,,,,,,,,,,,,
38.29,5,,,,,,,,,,,,,,,,,
38.34,28,,,,,,,,,,,,,,,,,
38.34.15,18,,,,,,,,,,,,,,,,,
38.34.38,6,,,,,,,,,,,,,,,,,
38.34.38.15,5,,,,,,,,,,,,,,,,,
38.35,4,,,,,,,,,,,,,,,,,
38.40,4,,,,,,,,,,,,,,,,,
38.44,8,,,,,,,,,,,,,,,,,
38.48,21,,,,,,,,,,,,,,,,,
38.48.34,5,,,,,,,,,,,,,,,,,
38.48.38,7,,,,,,,,,,,,,,,,,
39,74,,,,,,,,,,,,,,,,,
39.15,15,,,,,,,,,,,,,,,,,
39.34,18,,,,,,,,,,,,,,,,,
39.34.15,9,,,,,,,,,,,,,,,,,
39.40,4,,,,,,,,,,,,,,,,,
39.44,5,,,,,,,,,,,,,,,,,
39.48,15,,,,,,,,,,,,,,,,,
39.48.15,7,,,,,,,,,,,,,,,,,
40,225,,,,,,,,,,,,,,,,,
40.15,52,,,,,,,,,,,,,,,,,
40.17,8,,,,,,,,,,,,,,,,,
40.17.15,4,,,,,,,,,,,,,,,,,
40.24,20,,,,,,,,,,,,,,,,,
40.24.15,10,,,,,,,,,,,,,,,,,
40.29,17,,,,,,,,,,,,,,,,,
40.29.15,8,,,,,,,,,,,,,,,,,
40.32,4,,,,,,,,,,,,,,,,,
40.34,31,,,,,,,,,,,,,,,,,
40.34.15,13,,,,,,,,,,,,,,,,,
40.34.48,8,,,,,,,,,,,,,,,,,
40.34.48.15,5,,,,,,,,,,,,,,,,,
40.41,4,,,,,,,,,,,,,,,,,
40.42,11,,,,,,,,,,,,,,,,,
40.42.15,4,,,,,,,,,,,,,,,,,
40.42.40,4,,,,,,,,,,,,,,,,,
40.44,17,,,,,,,,,,,,,,,,,
40.44.48,4,,,,,,,,,,,,,,,,,
40.45,18,,,,,,,,,,,,,,,,,
40.45.15,4,,,,,,,,,,,,,,,,,
40.45.48,6,,,,,,,,,,,,,,,,,
40.46,5,,,,,,,,,,,,,,,,,
40.46.15,4,,,,,,,,,,,,,,,,,
40.47,10,,,,,,,,,,,,,,,,,
40.47.15,6,,,,,,,,,,,,,,,,,
